q_pip,q_dip,q_linkage_base,q_linkage_distal
3.455751918948772317e-01,-7.411145893852162381e-01,-6.438032663336064054e-01,4.428865149464873419e-01
3.473205211468715636e-01,-7.440274958323902510e-01,-6.464698579152052815e-01,4.448781590640566996e-01
3.490658503988658956e-01,-7.469347036686042607e-01,-6.491316987446933418e-01,4.468688553227768701e-01
3.508111796508602276e-01,-7.498362319375715401e-01,-6.517887993205873087e-01,4.488586122678439594e-01
3.525565089028545596e-01,-7.527320995492994271e-01,-6.544411701064944964e-01,4.508474383456597678e-01
3.543018381548488360e-01,-7.556223252821689940e-01,-6.570888215316790237e-01,4.528353419053390283e-01
3.560471674068431680e-01,-7.585069277849925129e-01,-6.597317639916338017e-01,4.548223312002015462e-01
3.577924966588375000e-01,-7.613859255790127456e-01,-6.623700078486267628e-01,4.568084143892234827e-01
3.595378259108318320e-01,-7.642593370598644853e-01,-6.650035634322319922e-01,4.587935995384642140e-01
3.612831551628261639e-01,-7.671271804995059007e-01,-6.676324410398559728e-01,4.607778946224758698e-01
3.630284844148204959e-01,-7.699894740480943689e-01,-6.702566509372411829e-01,4.627613075256737929e-01
3.647738136668148279e-01,-7.728462357358405477e-01,-6.728762033589621439e-01,4.647438460436932317e-01
3.665191429188091599e-01,-7.756974834748051606e-01,-6.754911085089050360e-01,4.667255178847096175e-01
3.682644721708034918e-01,-7.785432350606811269e-01,-6.781013765607388777e-01,4.687063306707459631e-01
3.700098014227978238e-01,-7.813835081745201805e-01,-6.807070176583702725e-01,4.706862919389473987e-01
3.717551306747921558e-01,-7.842183203844412809e-01,-6.833080419163914954e-01,4.726654091428423854e-01
3.735004599267864878e-01,-7.870476891472852898e-01,-6.859044594205081502e-01,4.746436896535639605e-01
3.752457891787808197e-01,-7.898716318102594336e-01,-6.884962802279677163e-01,4.766211407610727591e-01
3.769911184307751517e-01,-7.926901656125293627e-01,-6.910835143679672221e-01,4.785977696753369592e-01
3.787364476827694837e-01,-7.955033076867863429e-01,-6.936661718420538136e-01,4.805735835275020129e-01
